iter	Passed	Remaining
0	96	290537
1	112	168332
2	125	125619
3	140	104966
4	153	92245
5	167	83756
6	181	77632
7	194	72911
8	209	69506
9	223	66741
10	236	64309
11	250	62320
12	263	60613
13	277	59144
14	290	57900
15	304	56879
16	319	56082
17	332	55162
18	346	54367
19	360	53652
20	373	52950
21	386	52319
22	399	51734
23	412	51201
24	426	50708
25	439	50248
26	452	49821
27	465	49367
28	477	48926
29	490	48562
30	503	48219
31	517	47987
32	531	47753
33	544	47467
34	557	47221
35	570	46998
36	584	46796
37	597	46573
38	610	46357
39	623	46160
40	637	45980
41	650	45804
42	664	45679
43	677	45541
44	691	45392
45	704	45235
46	717	45096
47	731	44990
48	744	44860
49	757	44709
50	770	44575
51	784	44486
52	797	44355
53	811	44247
54	824	44147
55	837	44048
56	850	43928
57	864	43852
58	877	43736
59	890	43639
60	903	43542
61	916	43441
62	930	43356
63	943	43274
64	956	43190
65	969	43111
66	982	43017
67	995	42934
68	1008	42837
69	1021	42747
70	1034	42688
71	1047	42617
72	1061	42542
73	1074	42481
74	1087	42431
75	1100	42356
76	1114	42296
77	1127	42233
78	1140	42166
79	1153	42091
80	1167	42087
81	1184	42134
82	1198	42113
83	1211	42057
84	1224	41989
85	1237	41932
86	1250	41872
87	1263	41822
88	1277	41772
89	1289	41709
90	1302	41649
91	1315	41592
92	1329	41543
93	1342	41497
94	1355	41453
95	1369	41415
96	1381	41356
97	1395	41314
98	1408	41267
99	1421	41216
100	1434	41167
101	1447	41120
102	1460	41067
103	1473	41024
104	1486	40980
105	1499	40938
106	1513	40920
107	1526	40877
108	1539	40835
109	1552	40796
110	1566	40761
111	1579	40720
112	1592	40679
113	1605	40637
114	1618	40605
115	1631	40568
116	1645	40537
117	1672	40837
118	1690	40927
119	1704	40899
120	1717	40855
121	1730	40823
122	1743	40789
123	1756	40749
124	1770	40710
125	1783	40670
126	1796	40631
127	1809	40596
128	1822	40561
129	1835	40527
130	1848	40492
131	1861	40449
132	1874	40415
133	1888	40390
134	1901	40355
135	1914	40324
136	1927	40290
137	1940	40251
138	1953	40211
139	1967	40197
140	1980	40167
141	1994	40136
142	2007	40103
143	2020	40075
144	2035	40079
145	2049	40055
146	2062	40030
147	2075	39997
148	2088	39963
149	2102	39955
150	2117	39957
151	2131	39943
152	2144	39908
153	2157	39878
154	2171	39848
155	2184	39821
156	2197	39791
157	2210	39762
158	2225	39756
159	2239	39752
160	2254	39759
161	2268	39745
162	2283	39739
163	2297	39733
164	2311	39718
165	2327	39734
166	2342	39732
167	2356	39720
168	2371	39726
169	2385	39711
170	2400	39710
171	2415	39717
172	2429	39698
173	2442	39664
174	2455	39640
175	2468	39610
176	2481	39578
177	2495	39559
178	2508	39535
179	2523	39528
180	2536	39500
181	2550	39482
182	2563	39459
183	2576	39429
184	2590	39410
185	2603	39385
186	2616	39357
187	2631	39358
188	2645	39353
189	2660	39353
190	2675	39341
191	2688	39321
192	2702	39302
193	2715	39274
194	2728	39250
195	2741	39224
196	2754	39197
197	2768	39173
198	2781	39144
199	2794	39125
200	2807	39097
201	2821	39077
202	2834	39050
203	2848	39040
204	2861	39020
205	2875	38998
206	2890	38995
207	2903	38975
208	2917	38961
209	2930	38936
210	2943	38913
211	2957	38892
212	2970	38866
213	2983	38846
214	2997	38824
215	3010	38801
216	3024	38784
217	3038	38780
218	3052	38762
219	3065	38738
220	3078	38714
221	3092	38698
222	3105	38674
223	3118	38652
224	3132	38636
225	3146	38621
226	3160	38604
227	3173	38577
228	3185	38550
229	3198	38524
230	3211	38500
231	3224	38475
232	3238	38453
233	3251	38432
234	3264	38412
235	3278	38393
236	3291	38372
237	3304	38348
238	3318	38332
239	3333	38330
240	3348	38330
241	3361	38313
242	3374	38287
243	3388	38269
244	3401	38250
245	3414	38226
246	3427	38203
247	3440	38179
248	3453	38159
249	3466	38135
250	3480	38115
251	3493	38091
252	3506	38068
253	3519	38053
254	3532	38029
255	3546	38009
256	3559	37988
257	3572	37972
258	3586	37951
259	3599	37935
260	3614	37932
261	3628	37917
262	3641	37893
263	3654	37874
264	3668	37865
265	3682	37851
266	3696	37835
267	3710	37823
268	3723	37807
269	3737	37788
270	3750	37768
271	3763	37746
272	3776	37722
273	3789	37703
274	3803	37686
275	3816	37664
276	3829	37640
277	3842	37624
278	3856	37609
279	3869	37591
280	3883	37575
281	3897	37564
282	3910	37544
283	3924	37529
284	3937	37508
285	3950	37488
286	3963	37468
287	3977	37455
288	3990	37433
289	4003	37414
290	4016	37394
291	4030	37378
292	4043	37358
293	4058	37350
294	4071	37329
295	4084	37309
296	4097	37292
297	4111	37275
298	4123	37252
299	4136	37232
300	4150	37213
301	4163	37193
302	4176	37175
303	4189	37156
304	4203	37140
305	4216	37121
306	4229	37098
307	4242	37077
308	4255	37056
309	4268	37040
310	4281	37021
311	4294	37002
312	4307	36982
313	4321	36965
314	4335	36954
315	4349	36941
316	4363	36927
317	4376	36911
318	4389	36891
319	4402	36869
320	4415	36849
321	4428	36829
322	4441	36812
323	4454	36793
324	4469	36784
325	4482	36771
326	4495	36751
327	4509	36732
328	4522	36714
329	4535	36697
330	4548	36678
331	4562	36661
332	4575	36645
333	4588	36624
334	4601	36608
335	4614	36588
336	4628	36577
337	4642	36563
338	4656	36548
339	4669	36530
340	4684	36525
341	4697	36507
342	4711	36494
343	4725	36482
344	4738	36462
345	4751	36443
346	4764	36426
347	4777	36410
348	4790	36391
349	4803	36371
350	4817	36354
351	4830	36335
352	4843	36317
353	4856	36299
354	4869	36283
355	4882	36263
356	4896	36247
357	4909	36234
358	4922	36215
359	4936	36197
360	4949	36181
361	4962	36162
362	4975	36145
363	4991	36144
364	5007	36146
365	5021	36141
366	5035	36125
367	5048	36106
368	5061	36088
369	5074	36070
370	5087	36053
